S1,S2,S3,S4,S5,S6,S9,S10,S11,S12,S13,S14
18.1213,29.26172,4.08896,28.65708,12.35347,30.1628,15.45025395,35.64614568,10.63728071,23.94336139,11.01014439,21.19614186
9.31902,42.94517763,6.16507,22.22526,13.33541,29.3984,15.92525809,30.93983226,6.806904349,20.84790793,9.609881051,22.56851172
8.1282,31.17341,4.262128796,22.80483,10.84954,24.96494,12.3549486,26.31762231,6.892257345,19.62673058,8.40485357,18.20783729
8.47582,25.88796,2.2047,27.10973,11.29906,22.52992,13.92307363,26.00910641,7.626012233,21.14386046,8.548898049,17.75489097
8.72382,24.15005,4.350007741,27.46431,8.88159,18.54468,12.94117472,26.00910641,6.723751401,21.21663564,8.692773881,14.99560417
8.17657,25.23506,3.954552491,26.5576,8.53392,17.2564,13.74715061,23.55458166,6.409114409,19.22312441,8.692773881,16.90004937
7.53287,29.22481802,4.174249852,30.02282,8.99025,13.36368,14.13931663,25.4464831,5.857272443,19.83125685,7.442837475,15.53158982
9.24006,34.50333619,2.72434,26.54213,9.16193,23.98059,16.77063462,30.72122203,5.816142894,20.97715054,8.498641027,24.66698222
9.13924,36.82162702,9.51145,25.11852,10.13515,28.9205,16.56582424,30.91571929,7.278306306,20.97715054,9.661003185,21.95431484
6.19793,21.58654699,8.59895,6.36626,7.1987,23.56478,11.07931522,17.80584777,4.46301639,13.09405258,6.3938423,10.14114404
6.43381,23.50218107,7.425,6,8.32008,19.57059,7.250283666,22.53597325,4.620568332,14.84395129,8.637501445,5.688813098
5.14549,18.74774147,5.544,4.48,5.81541,7.20776,5.734933159,21.74938818,3.917510152,8.292153409,6.997941794,2.884420437
4.14739,16.52344064,4.455,3.6,5.79472,2.796,4.460945972,17.08911994,3.599910315,5.513674377,5.472935036,3.159786795
4.0972,16.28529534,6.06515519,3.76,6.33206,2.265552761,4.809932504,17.41054075,3.82274824,5.337616759,5.816738183,3.409977101
4.14663,17.06649534,4.653,3.76,5.70874,2.265552761,4.460945972,18.24551216,3.82274824,5.390372967,5.605400899,3.409977101
3.82346,16.3653486,4.158,3.36,5.53184,2.02453651,4.207051024,17.50339291,3.284311294,5.265716511,4.619528271,2.24963765
3.89849,16.72665656,4.713639413,3.12,6.51111,2.622,4.059284102,14.99799668,3.230002701,5.091618892,4.231251976,2.644991742
3.70713,20.03116473,2.240913079,10.12553,6.384,2.8,4.686487198,19.27737304,3.82274824,6.778655292,5.246202557,3.409977101
4.04632,29.16353372,3.251520937,16.61138,6.33681,3.596,5.848966169,28.81677782,4.62103931,9.771582019,6.16816589,4.000524552
5.22998,27.81334025,2.812126216,15.15251,5.89146,2.21262,5.69650424,26.8751531,3.750215533,12.80240719,5.776703824,4.000524552
6.19834,29.00331046,3.471218298,26.35167,7.11111,3.808056769,6.882292552,32.12360258,4.318260911,19.66742601,7.062173433,5.984390711
8.86103,38.09210537,4.218189324,22.76136,7.82184,4.732,8.703241735,38.17416631,4.935544843,21.70833946,8.821982378,11.03811346
8.40618,34.90938863,3.998491964,22.32195,6.98731,4.386495772,8.32452066,35.45892278,3.382817285,21.57790325,8.821982378,10.70468429
10.00352,53.02236659,3.866673547,18.89024,10.42837,4.018,8.703241735,34.32529648,3.06395935,21.44594819,8.765936983,9.979149193
10.74073,46.17487946,4.481826157,20.76054,8.80395,4.916731525,8.703241735,38.84585175,3.900042788,23.85931401,9.645043547,11.89075182
10.20098,36.52212906,5.316676127,40.10219,11.83955,17.01294,11.26108826,41.18679969,5.944440932,23.62606406,11.79215133,23.17339174
11.99569,48.58769988,4.23372,30.91593,15.70999,19.72677,11.46484559,42.71015458,6.868235579,25.46417917,12.0631966,23.17339174
12.6173,51.37470641,5.3606156,27.96016,10.81693,18.51289,11.26108826,42.1108224,5.944440932,23.62606406,12.0631966,23.17339174
13.91315,45.93229519,5.712131377,35.51188,9.83744,22.64482,11.17633857,41.0512713,7.086880775,27.00122888,11.81775853,28.97470057
12.99974,46.35748437,5.228797183,21.81316,9.58255,17.04362,11.24681006,39.5279164,6.078903217,22.07023676,11.33644802,26.86842528
11.22431,33.39456723,8.10079,29.99545,14.93502,40.45138,9.795244253,39.040298,5.226771612,23.33894447,11.42265078,33.08676534
8.44888,40.1898015,9.3335,19.52666,11.61148,20.43236,7.266655695,37.29321024,3.731122235,24.68043742,10.4885401,21.79612114
9.72255,43.04,15.5,15.2,17.93,30.11,11.29234032,39.58492049,6.725084083,24.49101901,11.42265078,22.65638664
10.70772,41.63204,14.14786,27.5329,16.27182,25.05151,12.92511146,43.39547715,10.11606013,25.01991715,12.08880381,14.71972865
9.42904,35.11457437,5.228797183,20.82823,13.84372,10.23337,11.58320129,40.17353539,7.904132601,20.14155005,12.16006579,17.13130012
10.7812,47.86923232,5.096978767,28.10921,13.52227,6.408,10.88577163,37.01601996,10.18093223,17.55310739,11.56216722,14.78648721
8.73022,41.57930946,4.481826157,22.0308,12.70192,4.916731525,9.739705885,38.25001742,7.378163972,19.24762344,11.40793054,7.962081674
8.87469,39.10883476,4.393947213,19.25098,13.41952,4.820325024,9.739705885,38.01738099,6.325651234,18.61171956,11.34045756,10.67254434
5.51139,26.01038494,2.90000516,15.61087,8.07903,3.181414516,6.668412276,27.06793686,4.952806535,9.873116709,9.004188224,4.679531095
4.66921,19.29794311,3.427278826,12.50423,8.80576,3.094,6.920721471,30.38324253,4.827433942,13.9117881,8.519912942,4.883524086
4.42697,18.61197942,2.328792023,10.43614,6.96797,2.554772263,5.615646887,21.96893517,4.398209317,8.343456943,6.923634136,3.066536042
4.19349,21.84856412,8.2445,8.05647,6.71284,2.651178763,5.734933159,23.21733198,4.095901896,8.434363259,6.772959273,3.461890135
4.28536,27.79889781,3.51515777,19.65419,7.02024,3.458,6.101275365,32.60917509,4.688632636,17.12423028,6.923597667,4.149294395
4.70368,13.47069638,3.207581465,25.78241,5.66286,3.518837268,5.887395088,28.61708222,4.467182285,15.43661287,6.923597667,4.149294395
6.74815,35.20097394,3.910613019,23.19232,8.222,4.290089272,8.741670654,34.72804857,4.50557577,19.44087871,8.562701591,5.687037666
8.15818,39.03593537,4.218189324,20.8637,9.15472,4.627512023,9.456559101,38.90326619,6.170545195,20.98766906,9.805086223,7.879421296
8.99057,40.29957946,4.481826157,21.26814,9.56288,4.916731525,9.739705885,39.25044936,5.881447562,22.07304339,9.386754669,7.879421296
7.03136,33.68033189,3.778794603,26.7975,8.4558,4.145479521,9.215066048,34.07332173,3.838553531,20.72527779,9.472305415,7.123425785
9.82428,50.77781272,3.262128796,26.58529,10.17665,4.675715274,9.215066048,39.06039258,5.026831772,20.98766906,9.205414807,8.247670803
10.64549,44.61239784,5.668191904,28.7987,15.56266,14.01127,12.46409915,45.90297943,7.495502899,25.63505251,11.33644802,16.44453788
6.68269,26.46362781,3.51515777,24.72786,6.92144,3.856260019,8.34734891,29.27112737,3.445203383,20.75443056,9.653481428,8.588748377
6.24018,22.43620229,2.943944633,18.26494,5.88926,12.06075,7.656397369,23.74015111,2.404392454,18.57952919,8.904577616,7.124333208
7.496,24.53663638,3.207581465,18.29276,7.79512,14.00248,7.567522989,24.83816158,3.867903372,17.77816883,9.453606837,8.0512608
6.27018,16.56812,6.07226,19.79856,7.61486,21.66951,5.927771649,22.23966949,3.985462396,15.11852897,8.769187504,9.278466093
4.77427,14.79467,4.50144,18.41358,8.2179,11.66772,7.750913876,21.47437005,2.981664006,13.46979937,7.162637419,6.21434316
3.62151,13.69879,4.68792,10.47861,5.80622,3.02087,6.036441054,14.26658695,1.812638635,7.093997462,6.403290718,3.94818595
4.00245,15.66013,5.10172,8.6208,6.74305,4.03341,4.542011265,15.15867001,2.136494375,7.885821007,6.389292295,2.545396627
5.33817,20.83346147,2.460610439,17.21365,7.17045,2.12794,7.211505935,20.84104792,2.603654517,10.52372997,7.404717538,2.982382574
5.79484,22.7023582,9.1439,10.31949,7.64453,2.940398265,6.586181573,22.77352292,3.791849333,13.13824278,8.681150828,3.78158487
7.11143,26.81798372,3.251520937,20.82767,9.72956,3.567040518,7.379154515,28.51593511,4.313123663,16.44663183,10.4358952,4.34463026
7.60169,29.02576781,3.51515777,20.32136,11.16009,3.856260019,7.50301632,32.50494052,5.17735466,15.65441418,10.29129411,4.513706987
6.33037,23.61515699,3.031823577,18.2574,10.57525,3.326024267,5.887395088,26.55799835,5.17735466,12.12124622,9.157137751,3.436263959
5.3181,20.02392351,2.592428856,14.56927,9.12931,2.843991764,5.734933159,23.58875016,4.65608033,9.377448944,8.854552709,3.032512149
4.98937,19.37588147,2.460610439,11.79089,8.37114,2.699382014,5.050563893,23.44695526,3.767087045,10.19655274,7.793818481,2.863435422
5.42957,21.49421208,2.284852551,9.39842,8.64217,2.506569013,5.17403142,21.05964417,3.651947263,9.914227752,8.174098326,2.676639782
3.07887,14.63464921,5.6962,5.57379,5.34621,1.831723509,3.932663132,15.65276581,2.704558831,5.981656591,4.518193944,1.792773251
3.39197,16.66,1.4926,1.52,4.86,2.522,3.32951558,15.14378935,1.98757476,5.70768857,3.829009497,1.339839832
2.61023,11.50207982,1.493942052,7.96384,4.53372,1.638910508,3.32951558,14.83236186,1.830553197,6.034865809,4.217493142,1.51354221
4.58331,19.23981,2.70342,10.92968,7.79519,3.6709,5.82495163,22.79985058,3.33771005,9.261483233,6.934893498,2.863435422
3.88205,13.5793539,2.04615,8.28856,7.6425,2.718,5.552701851,14.18133329,2.006342477,6.987062908,6.113299364,2.798400158
3.40716,21.92511799,0.78795,8.318,5.55546,5.53449,6.374884943,16.99681218,1.721562131,8.105765386,6.63368075,2.913213618
2.31407,10.18529,1.318184164,10.08115,5.40392,1.446097507,4.47526377,11.35574252,0.72529591,6.730142222,4.876061019,1.632489361
2.96834,8.28656,1.186365747,6.86875,4.39376,4.35563,3.695634604,11.14307037,0.744854023,6.091822236,4.626656268,1.88625314
2.92912,7.418715733,1.23030522,8.38303,4.89822,1.55055,4.239441173,11.09978168,1.862345492,6.160362542,4.779552462,1.632489361
2.38403,8.638310428,1.318184164,9.13344,4.71063,1.446097507,3.470585437,10.49647895,1.862345492,6.379984717,4.865755215,1.632489361
3.2089,8.681920428,3.18226,9.12324,4.73144,1.446097507,4.902703907,10.49647895,1.862345492,6.175051621,4.985729037,1.338494386
4.86755,13.88184,3.26212,5.95126,4.89775,2.02453651,6.268441614,16.23898661,2.858611713,6.802932564,6.041653228,2.929946714
6.28127,15.70538,2.96019,14.86828,10.70528,14.83021,9.636285442,21.34733158,3.802289494,11.69621886,9.892128613,8.108014629
7.58631,17.426,10.23,14.5,22.02,23.2,13.56481023,30.02231619,5.204565326,17.56298302,12.34565173,12.91456958
8.04053,22.32,14.5403,12.7,13.92,27.71,12.75709657,28.94553571,5.204565326,17.66783007,11.83672023,13.64061878
6.23774,21.74966903,8.70866,3.59273,9.97528,25.86012,10.56929385,23.0264174,4.461299074,11.98722952,9.544939112,7.997279351
5.15826,18.12838147,2.460610439,12.74682,7.68037,4.82598,6.446600121,21.91074042,3.10270787,10.52372997,7.283576836,3.235386105
4.66112,15.9796786,1.845457829,9.01073,6.61271,2.02453651,4.883743363,17.64414139,2.495615095,6.994305717,5.726119536,2.418487712
3.89049,14.0462239,1.757578885,7.05291,6.09909,1.92813001,3.928987261,15.13874516,2.72300737,6.465403901,5.726119536,1.792773251
4.14181,15.70458,1.493942052,6.99834,6.33114,1.638910508,3.32951558,14.3183412,1.830553197,6.129448395,5.43506575,1.51354221
4.2729,13.76348982,5.0966,4.42938,5.41823,1.638910508,3.32951558,14.3183412,1.830553197,6.129448395,5.43506575,1.51354221
3.1516,8.266001647,0.7083,4.66345,2.45163,1.348,2.70436802,9.958339162,1.785666099,5.484451089,4.921890518,1.399552019
2.9821,12.29186,1.493942052,10.3958,6.18495,1.638910508,3.32951558,14.1692614,1.857721216,6.129448395,5.541041149,1.51354221
2.34083,7.823131252,1.801518357,9.88682,7.60742,1.97633326,3.932663132,15.8314382,2.750175388,6.667128479,5.983673827,1.792773251
3.0761,10.69691,0.97528,12.49813,8.11549,2.169146261,4.297069495,17.40757401,2.90719695,7.026278744,5.877698428,2.04653703
3.3944,16.66994534,7.0453,7.04154,8.37394,2.265552761,4.297069495,17.72899482,3.130034876,7.515783413,6.398079814,2.042963558
2.20053,9.355898385,1.186365747,6.86993,4.38975,1.301487757,2.94873518,10.85370427,1.753909167,5.873615813,4.846884635,1.450352126
2.30449,8.350066343,1.054547331,5.07472,3.59398,1.156878006,2.70436802,10.27408118,1.601476518,5.520178954,3.980692472,1.425889549
3.93841,19.5132082,2.6803078,10.99381,5.88169,2.940398265,7.925166489,22.10026355,3.448461553,14.12668114,7.984002942,6.948427981
2.61131,10.1921486,1.845457829,11.16951,4.89033,2.02453651,5.273762628,16.65438164,2.267607006,9.154687162,6.029663614,2.629550095
2.79386,13.31174799,2.021215718,18.14223,5.12394,2.217349511,4.499374891,14.46965355,2.137211251,9.653534856,6.371043797,3.275094494
5.272,27.62925494,0.90317,20.47603,6.88801,2.20759,5.848966169,23.35423574,3.203849988,14.39311668,6.345338851,4.000524552
5.63125,18.008,7.86,27.3,12.86,16.98,8.816039854,25.64767919,4.162196692,21.00763162,9.208406752,14.47775911
5.37264,16.92,3.2925,12.75,12.54,18.0788,7.906947714,19.63620495,4.033799082,17.09208023,9.208406752,11.12502971
5.98688,16.787,3.2486,14.33,12.36,19.786,7.906947714,13.09947114,4.033799082,16.77779536,8.681589272,11.12502971
6.9741,20.9547,8.93,17.51,11.2167,25.56,12.24037823,19.96243728,5.712151148,18.61875915,9.916467319,26.20382067
8.0665,21.593,12.04,17.11,16.27,27.38,11.38966288,20.16756804,9.556695647,21.11992921,10.39321199,30.83777995
8.72846,28.23,4.63,8.634,14.12,33.55,17.25955806,19.44304745,8.542882719,19.43035658,10.85467571,31.05023859
8.5714,30.69,4.39,17,10.89,28.23,17.66893812,16.95772406,6.662535201,21.57510298,8.731389991,21.51834228
7.83869,14.84,4.2583,16.49,12.07,37.46,16.10455418,14.76437286,5.838411032,20.95573802,8.47502923,20.1608768
5.18463,18.25,5.42,1.69,8.68,18.05,7.331835431,13.33311981,4.745139784,6.978851305,6.313053842,3.783881909
